recipenlg_어휘,flavorgraph_노드,매칭방식,recipenlg_빈도,부분후보
crab claw meat,crab_claw_meat,정확,33,
chocolate flavoring,chocolate_flavoring,정확,33,
pumpkin mix,,부분(미승인),33,pumpkin
coating mix,coating_mix,정확,33,
grapefruit sections,grapefruit_section,정확(수),33,
Kellogg's Rice,,부분(미승인),33,rice
julienne carrot,,부분(미승인),33,carrot
pressed beef,,부분(미승인),33,beef
dish detergent,dish_detergent,정확,33,
southern style hash browns,southern_style_hash_brown,정확(수),33,
sponge cake,sponge_cake,정확,33,
iron,,부분(미승인),33,flat_iron_steak
assorted fruit,,부분(미승인),33,fruit
red colored sugar,,부분(미승인),33,sugar
cooked beets,cooked_beet,정확(수),33,
leafy lettuce,,부분(미승인),33,lettuce
grape leaf,grape_leaf,정확,33,
green jalapenos,,부분(미승인),33,green
Minute rice,minute_rice,정확,33,
hormel chili,hormel_chili,정확,33,
celery sticks,,부분(미승인),33,celery
pasta spirals,,부분(미승인),33,pasta
ground chocolate,,부분(미승인),33,chocolate
cobs of corn,,부분(미승인),33,corn
chicken fillets,chicken_fillet,정확(수),33,
peppermint stick,,부분(미승인),33,peppermint|stick
baking ammonia,,부분(미승인),33,ammonia
Midori,,부분(미승인),33,midori_melon_liqueur
Lemon Extract,lemon_extract,정확,33,
onion mushroom soup,,부분(미승인),33,onion|soup|mushroom
ginger snap cookies,,부분(미승인),33,ginger
beef boullion,,부분(미승인),33,beef
Sour Milk,sour_milk,정확,33,
imported mustard,,부분(미승인),33,mustard
Onion Soup mix,onion_soup_mix,정확,33,
cold cooked white rice,,부분(미승인),33,rice
Chocolate Wafers,chocolate_wafer,정확(수),33,
active,,부분(미승인),33,dry_active_yeast|active_dry_yeast|fast_rising_active_dry_yeast
herb cheese,,부분(미승인),33,cheese|herb
cherry mix,,부분(미승인),33,cherry
orange lentils,orange_lentil,정확(수),33,
sponge cakes,sponge_cake,정확(수),33,
beef gravy mix,beef_gravy_mix,정확,33,
garlic chives,garlic_chive,정확(수),33,
nutmeg powder,,부분(미승인),33,nutmeg
stewing lamb,stewing_lamb,정확,33,
Pasta of your choice,,부분(미승인),33,pasta
Sweet Chocolate Chips,,부분(미승인),33,chocolate
orange twists,orange_twist,정확(수),33,
chicken carcasses,,부분(미승인),33,chicken
freshly ground cumin,,부분(미승인),33,cumin
Serrano Chili,serrano_chili,정확,33,
Matzo,matzo,정확,33,
katakuriko,katakuriko,정확,33,
vegetables oil,,부분(미승인),33,oil
hops,hop,정확(수),33,
zucchini flowers,,부분(미승인),33,zucchini
Yellow squash,yellow_squash,정확,33,
fresh coconut milk,,부분(미승인),33,milk|coconut
anise liqueur,,부분(미승인),33,anise|liqueur
fresh green chile,fresh_green_chile,정확,33,
pasta flour,,부분(미승인),33,flour|pasta
freshly grated lime zest,,부분(미승인),33,lime
dried lavender buds,,부분(미승인),33,lavender
cilantro root,cilantro_root,정확,33,
chocolate-covered espresso beans,,부분(미승인),33,espresso
Emmentaler cheese,,부분(미승인),33,cheese
spirulina,spirulina,정확,33,
vegetarian oyster,,부분(미승인),33,oyster
Crepe,crepe,정확,33,
cold espresso,,부분(미승인),33,espresso
tagliatelle pasta,,부분(미승인),33,pasta
fresh tomatillo,,부분(미승인),33,tomatillo
stemmed kale,,부분(미승인),33,kale
broccoli stem,broccoli_stem,정확,33,
APPLE FILLING,,부분(미승인),33,apple
CHEESE,cheese,정확,33,
coarse polenta,,부분(미승인),33,polenta
Green Chile,,부분(미승인),33,green|chile
poundcake mix,poundcake_mix,정확,33,
whole wheat fusilli,,부분(미승인),33,fusilli|wheat
fresh Chinese noodles,fresh_chinese_noodle,정확(수),33,
low-fat cheddar cheese,,부분(미승인),33,cheese
Vanilla frosting,vanilla_frosting,정확,33,
chanterelle mushroom,chanterelle_mushroom,정확,33,
AIOLI,aioli,정확,33,
strong coffee,strong_coffee,정확,33,
light soymilk,,부분(미승인),33,soymilk
fine-grain sea salt,,부분(미승인),33,salt
egg white powder,egg_white_powder,정확,33,
mesquite powder,mesquite_powder,정확,33,
sweet white sorghum flour,,부분(미승인),33,sorghum|flour
nonfat chicken,,부분(미승인),33,chicken
godiva chocolate,,부분(미승인),33,chocolate
beet leaves,,부분(미승인),33,beet
sweet white miso,,부분(미승인),33,miso
your favorite barbecue rub,your_favorite_barbecue_rub,정확,33,
black soybeans,black_soybean,정확(수),33,
amchur,,부분(미승인),33,amchur_powder
BROWNIE LAYER,,부분(미승인),33,brownie
Chocolate Cookie,,부분(미승인),33,cookie|chocolate
Cinnamon Rolls,cinnamon_roll,정확(수),33,
Queso Blanco,queso_blanco,정확,33,
Pepperoncini,,부분(미승인),33,pepperoncini_pepper
Courgette,courgette,정확,33,
Bibb Lettuce,bibb_lettuce,정확,33,
Poultry seasoning,poultry_seasoning,정확,33,
Pepperjack Cheese,,부분(미승인),33,cheese
Rice wine,rice_wine,정확,33,
blanco,,부분(미승인),33,queso_blanco
Malt,,부분(미승인),33,barley_malt_syrup|malt_drink_powder|malt_extract
Rice Wine,rice_wine,정확,33,
pasta cooked,,부분(미승인),33,pasta
Banana Peppers,banana_pepper,정확(수),33,
Green Chilli,,부분(미승인),33,green
Nut Butter,nut_butter,정확,33,
OREO,,부분(미승인),33,halloween_oreo_cooky|oreo_cooky|reduced_fat_oreo_cooky
Liquid Honey,liquid_honey,정확,33,
weight Cream,,부분(미승인),33,cream
sugar confectioners,,부분(미승인),33,sugar
Boysenberry,boysenberry,정확,33,
rice brown,,부분(미승인),33,rice
N Butter,,부분(미승인),33,butter
fully ripe avocado,,부분(미승인),33,avocado
boneless chuck roast,boneless_chuck_roast,정확,32,
porterhouse steak,porterhouse_steak,정확,32,
nonfat vanilla,,부분(미승인),32,vanilla
red sugar crystals,red_sugar_crystal,정확(수),32,
fruit mix,,부분(미승인),32,fruit
crisply fried bacon,,부분(미승인),32,bacon
pumpkin pie spices,pumpkin_pie_spice,정확(수),32,
powdered cream,,부분(미승인),32,cream
green limas,,부분(미승인),32,green
coarse grain,,부분(미승인),32,grain
Hormel real bacon bits,hormel_real_bacon_bit,정확(수),32,
cream of chicken mushroom soup,,부분(미승인),32,soup|cream|mushroom
White Lily flour,,부분(미승인),32,flour
instant banana pudding,,부분(미승인),32,banana|pudding
cubed ham,cubed_ham,정확,32,
cream celery soup,,부분(미승인),32,celery|soup|cream
cold tea,,부분(미승인),32,tea
taco Doritos,,부분(미승인),32,doritos
your favorite pasta,,부분(미승인),32,pasta
barley nugget cereal,barley_nugget_cereal,정확,32,
whole kernel yellow corn,,부분(미승인),32,corn
strawberry flavor,,부분(미승인),32,strawberry
broilers,broiler,정확(수),32,
catfish nuggets,,부분(미승인),32,catfish
red bean paste,red_bean_paste,정확,32,
lotus seeds,lotus_seed,정확(수),32,
orange candy slices,,부분(미승인),32,candy|orange
Lemon Supreme cake mix,lemon_supreme_cake_mix,정확,32,
beef fat,beef_fat,정확,32,
tomato bisque soup,,부분(미승인),32,tomato|soup
Campbell's condensed cream of mushroom soup,,부분(미승인),32,soup|cream|mushroom
boiling coffee,,부분(미승인),32,coffee
fully cooked kielbasa,,부분(미승인),32,kielbasa
Lemon Jello,,부분(미승인),32,lemon
Gratin,,부분(미승인),32,au_gratin_potato_mix|au_gratin_potato
very soft butter,,부분(미승인),32,butter
Carolina rice,,부분(미승인),32,rice
brown butter,,부분(미승인),32,butter
shin beef,shin_beef,정확,32,
cassia,cassia,정확,32,
vanilla cook,,부분(미승인),32,vanilla
Jell-O instant pudding,,부분(미승인),32,pudding
caramel flavoring,,부분(미승인),32,caramel|flavoring
yeast rolls,,부분(미승인),32,yeast
lean cooked ham,,부분(미승인),32,ham
additional milk,,부분(미승인),32,milk
all-purpose white flour,,부분(미승인),32,flour
white mustard,,부분(미승인),32,mustard
drops of lemon juice,,부분(미승인),32,juice|lemon
all-vegetable shortening,,부분(미승인),32,shortening
plastic wrap,,부분(미승인),32,wrap
lean ground veal,lean_ground_veal,정확,32,
caramel apple,,부분(미승인),32,caramel|apple
Chocolate Topping,,부분(미승인),32,chocolate
leftover cooked turkey,,부분(미승인),32,turkey
Favorite Pasta,,부분(미승인),32,pasta
bulgar wheat,,부분(미승인),32,wheat
sugar cones,,부분(미승인),32,sugar
Cream of Chicken,,부분(미승인),32,cream|chicken
Capellini,capellini,정확,32,
pancakes,pancake,정확(수),32,
gel,,부분(미승인),32,decorating_gel|red_decorating_gel|black_decorating_gel
red delicious apples,red_delicious_apple,정확(수),32,
cranberry relish,,부분(미승인),32,cranberry|relish
White chocolate curls,white_chocolate_curl,정확(수),32,
pork ground,,부분(미승인),32,pork
unbleached bread flour,unbleached_bread_flour,정확,32,
Italian plum tomato,italian_plum_tomato,정확,32,
Curry powder,curry_powder,정확,32,
Onion Soup,onion_soup,정확,32,
Taco Cheese,taco_cheese,정확,32,
bean noodles,,부분(미승인),32,bean
chuck steaks,chuck_steak,정확(수),32,
Chocolate Chip Cookie,chocolate_chip_cookie,정확,32,
butterfish,butterfish,정확,32,
freshly grated lemon,,부분(미승인),32,lemon
broccoli raab,broccoli_raab,정확,32,
Chili,chili,정확,32,
live blue crabs,live_blue_crab,정확(수),32,
Green cabbage,green_cabbage,정확,32,
pork sirloin,,부분(미승인),32,sirloin|pork
coconut-flavored rum,,부분(미승인),32,rum
fluid ounces gin,,부분(미승인),32,gin
citron vodka,,부분(미승인),32,vodka|citron
Asian chile paste,,부분(미승인),32,chile
dashi powder,dashi_powder,정확,32,
borlotti,,부분(미승인),32,borlotti_bean
heirloom tomato,heirloom_tomato,정확,32,
ground chipotle chile powder,,부분(미승인),32,chile
Baking,,부분(미승인),32,bittersweet_baking_chocolate|semisweet_baking_chocolate|baking_chocolate
head kale,,부분(미승인),32,kale
cardamom pod,cardamom_pod,정확,32,
Romesco Sauce,romesco_sauce,정확,32,
freshly squeezed blood orange juice,,부분(미승인),32,orange|juice
apple wood chips,,부분(미승인),32,apple
amchur powder,amchur_powder,정확,32,
sparkling sugar,,부분(미승인),32,sugar
plantain chips,plantain_chip,정확(수),32,
besan,besan,정확,32,
RHUBARB,rhubarb,정확,32,
grigio wine,,부분(미승인),32,wine
MEATLOAF,meatloaf,정확,32,
xylitol sugar substitute,xylitol_sugar_substitute,정확,32,
white port,white_port,정확,32,
red swiss chard,red_swiss_chard,정확,32,
LAMB,lamb,정확,32,
ground chipotle chile,,부분(미승인),32,chile
english spinach,,부분(미승인),32,spinach
ground blanched almond,,부분(미승인),32,almond
powdered soy protein concentrate,powdered_soy_protein_concentrate,정확,32,
Doughnuts,doughnut,정확(수),32,
mizithra cheese,mizithra_cheese,정확,32,
pitted oil,,부분(미승인),32,oil
smoky bacon,,부분(미승인),32,bacon
Crescent,,부분(미승인),32,pillsbury_refrigerated_crescent_dinner_roll|crescent_roll_dough|refrigerated_crescent_dinner_roll
BEANS,bean,정확(수),32,
flageolet beans,flageolet_bean,정확(수),32,
sandwich roll,,부분(미승인),32,roll
baby plum tomatoes,,부분(미승인),32,plum
persian cucumbers,persian_cucumber,정확(수),32,
uncooked wheat berries,,부분(미승인),32,wheat
Wafers,wafer,정확(수),32,
parmigiano cheese,,부분(미승인),32,cheese|parmigiano
Handful fresh basil,,부분(미승인),32,basil
Vanilla sugar,vanilla_sugar,정확,32,
Cornichons,cornichons,정확,32,
Sweet corn,sweet_corn,정확,32,
bunches Cilantro,,부분(미승인),32,cilantro
White fish,,부분(미승인),32,fish
stalks of fresh lemongrass,,부분(미승인),32,lemongrass
Somen noodles,somen_noodle,정확(수),32,
Jaggery,jaggery,정확,32,
grain sugar,,부분(미승인),32,sugar|grain
Sumac,sumac,정확,32,
Tomato wedges,,부분(미승인),32,tomato
Sourdough,,부분(미승인),32,sourdough_baguette|sourdough_bread|sourdough_starter
Bulgur Wheat,bulgur_wheat,정확,32,
Fresh asparagus,fresh_asparagus,정확,32,
Cooking apples,cooking_apple,정확(수),32,
Orange Bitters,orange_bitter,정확(수),32,
Italian Seasoned Breadcrumbs,italian_seasoned_breadcrumb,정확(수),32,
Swiss Meringue Buttercream,,부분(미승인),32,meringue
dark brown sugar packed,,부분(미승인),32,sugar
Non-fat Plain Greek Yogurt,,부분(미승인),32,yogurt
onions green,,부분(미승인),32,green
Sesame paste,sesame_paste,정확,32,
hot chili pepper oil,,부분(미승인),32,oil|pepper|chili
cool lowfat milk,,부분(미승인),32,milk
rolls garlic,,부분(미승인),31,garlic
garlic dressing,,부분(미승인),31,garlic
hair spaghetti,,부분(미승인),31,spaghetti
mushroom steak sauce,,부분(미승인),31,steak|mushroom
ham strips,,부분(미승인),31,ham
coarse grind black pepper,,부분(미승인),31,pepper
yellow cornbread,,부분(미승인),31,cornbread
karo syrup,karo_syrup,정확,31,
grape gelatin,grape_gelatin,정확,31,
mushroom buttons,,부분(미승인),31,mushroom
beef broth soup,,부분(미승인),31,beef|soup|broth
frozen tortellini,,부분(미승인),31,tortellini
refrigerated pie crust,refrigerated_pie_crust,정확,31,
Raisin Bran cereal,raisin_bran_cereal,정확,31,
fish filets,,부분(미승인),31,fish
whole wheat noodles,,부분(미승인),31,wheat
strawberry sugar,,부분(미승인),31,strawberry|sugar
Monde spice,,부분(미승인),31,spice
beef Rice,,부분(미승인),31,beef|rice
onion bits,,부분(미승인),31,onion
luke warm water,,부분(미승인),31,water
Savoy,,부분(미승인),31,savoy_cabbage
green squash,,부분(미승인),31,green|squash
Shredded Wheat biscuits,shredded_wheat_biscuit,정확(수),31,
extra lean beef,,부분(미승인),31,beef
tightly packed torn romaine lettuce,,부분(미승인),31,lettuce
cooked roast beef,,부분(미승인),31,beef|roast
fish seasoning,,부분(미승인),31,seasoning|fish
Frangelico liqueur,,부분(미승인),31,frangelico|liqueur
tropical fruit salad,,부분(미승인),31,fruit
firm packed brown sugar,,부분(미승인),31,sugar
chocolate crust,,부분(미승인),31,chocolate
white dry wine,,부분(미승인),31,wine
chocolate covered peanut butter,,부분(미승인),31,butter|peanut|chocolate
Fresh Cream,fresh_cream,정확,31,
Campbell's broccoli cheese soup,,부분(미승인),31,cheese|soup|broccoli
fresh yellow squash,,부분(미승인),31,squash
lite fruit cocktail,,부분(미승인),31,fruit
lemon halves,,부분(미승인),31,lemon
ring bologna,,부분(미승인),31,bologna
ground parsley,,부분(미승인),31,parsley
orange pieces,,부분(미승인),31,orange
nacho cheese sauce,,부분(미승인),31,cheese
cold cooked chicken,,부분(미승인),31,chicken
boiled shrimp,,부분(미승인),31,shrimp
fresh brewed coffee,,부분(미승인),31,coffee
beef loin,,부분(미승인),31,beef
fresh crab,fresh_crab,정확,31,
nacho cheese tortilla chips,,부분(미승인),31,tortilla|cheese
roll dough,,부분(미승인),31,roll
scotch whiskey,,부분(미승인),31,scotch
Orange Jello,,부분(미승인),31,orange
whole wheat hamburger,,부분(미승인),31,hamburger|wheat
pork gravy mix,,부분(미승인),31,pork|gravy
pasta twists,,부분(미승인),31,pasta
fruit sugar,fruit_sugar,정확,31,
whole grain,,부분(미승인),31,grain
Kirschwasser,kirschwasser,정확,31,
Locatelli,,부분(미승인),31,locatelli_cheese
rolled barley,rolled_barley,정확,31,
Fresh broccoli,fresh_broccoli,정확,31,
veal tenderloin,veal_tenderloin,정확,31,
jumbo egg,jumbo_egg,정확,31,
hot beef,,부분(미승인),31,beef
praline liqueur,praline_liqueur,정확,31,
cashew milk,cashew_milk,정확,31,
condensed bean with bacon soup,,부분(미승인),31,bacon|soup|bean
lemon butter,lemon_butter,정확,31,
beef wieners,,부분(미승인),31,beef
quartered grape tomatoes,,부분(미승인),31,grape
Italian flat leaf parsley,,부분(미승인),31,parsley
pimiento peppers,,부분(미승인),31,pimiento
enchilada seasoning,,부분(미승인),31,seasoning
Egg substitute,egg_substitute,정확,31,
Grain Rice,,부분(미승인),31,grain|rice
veal medallions,veal_medallion,정확(수),31,
course ground pepper,,부분(미승인),31,pepper
flour plain,,부분(미승인),31,flour
homemade,,부분(미승인),31,homemade_mayonnaise|homemade_chicken_stock|homemade_beef_stock
snickers,,부분(미승인),31,snickers_candy_bar|snickers_miniature_candy_bar
dandelion flowers,dandelion_flower,정확(수),31,
Pineapple Salsa,,부분(미승인),31,salsa|pineapple
Chocolate Filling,,부분(미승인),31,chocolate
ham soup base,ham_soup_base,정확,31,
bread crumbs plain,,부분(미승인),31,bread
gallon boiling water,,부분(미승인),31,water
regular olive oil,,부분(미승인),31,olive|oil
sesame seed buns,,부분(미승인),31,sesame|seed
Ground Hamburger,,부분(미승인),31,hamburger
Chicken Cutlets,chicken_cutlet,정확(수),31,
lemon squeezed,,부분(미승인),31,lemon
ground coffee beans,,부분(미승인),31,coffee
coriander sprig,coriander_sprig,정확,31,
links sweet Italian sausage,,부분(미승인),31,sausage
ground mustard powder,,부분(미승인),31,mustard
Salad Supreme dry seasoning,salad_supreme_dry_seasoning,정확,31,
chocolate melts,,부분(미승인),31,chocolate
tasty,,부분(미승인),31,tasty_cheese
very cold unsalted butter,,부분(미승인),31,butter
chicken boullion,,부분(미승인),31,chicken
porterhouse steaks,porterhouse_steak,정확(수),31,
flat iron steak,flat_iron_steak,정확,31,
smooth natural peanut butter,,부분(미승인),31,butter|peanut
Wontons,wonton,정확(수),31,
garlic basil,,부분(미승인),31,basil|garlic
semolina flour,semolina_flour,정확,31,
white vanilla baking chips,,부분(미승인),31,vanilla
cacao butter,,부분(미승인),31,butter|cacao
PHILADELPHIA Light Cream Cheese,,부분(미승인),31,cheese|cream
mung beans,mung_bean,정확(수),31,
Halloumi cheese,halloumi_cheese,정확,31,
cane vinegar,,부분(미승인),31,vinegar
hazelnut butter,hazelnut_butter,정확,31,
beef cheeks,beef_cheek,정확(수),31,
zest of one lime,,부분(미승인),31,lime
Cooking Spray,cooking_spray,정확,31,
coconut nectar,,부분(미승인),31,coconut
LIME,lime,정확,31,
fingerling potato,fingerling_potato,정확,31,
white cheddar cheese,white_cheddar_cheese,정확,31,
nonstick vegetable oil cooking spray,,부분(미승인),31,vegetable|oil
unsalted matzo meal,,부분(미승인),31,meal|matzo
green chili powder,,부분(미승인),31,green|chili
Caramel Syrup,caramel_syrup,정확,31,
coconut sorbet,coconut_sorbet,정확,31,
CREAM SAUCE,,부분(미승인),31,cream
MEAT,meat,정확,31,
chocolate hazelnut,,부분(미승인),31,hazelnut|chocolate
Lemon Icing,,부분(미승인),31,icing|lemon
artichoke heart,artichoke_heart,정확,31,
Bechamel,,부분(미승인),31,bechamel_sauce
asian chili paste,,부분(미승인),31,chili
smoky paprika,,부분(미승인),31,paprika
CHOCOLATE LAYER,,부분(미승인),31,chocolate
fresh baguette,,부분(미승인),31,baguette
Aioli,aioli,정확,31,
green serrano chilies,green_serrano_chilies,정확,31,
oilve oil,,부분(미승인),31,oil
pappadams,pappadams,정확,31,
whole wheat angel hair pasta,whole_wheat_angel_hair_pasta,정확,31,
stalks basil,,부분(미승인),31,basil
Coconut cream,,부분(미승인),31,cream|coconut
pepper puree,,부분(미승인),31,pepper|puree
clementine juice,clementine_juice,정확,31,
butternut squash puree,,부분(미승인),31,squash|puree
Tortilla Strips,,부분(미승인),31,tortilla
lemon olive oil,,부분(미승인),31,olive|oil|lemon
camembert,,부분(미승인),31,camembert_cheese
Sweet onions,sweet_onion,정확(수),31,
Fresh sage,fresh_sage,정확,31,
orange-blossom water,,부분(미승인),31,water
spanish onions,spanish_onion,정확(수),31,
Fleur De Sel,fleur_de_sel,정확,31,
Braeburn apple,braeburn_apple,정확,31,
Egg Pasta,,부분(미승인),31,egg|pasta
Saffron Threads,saffron_thread,정확(수),31,
Freshly grated Parmesan cheese,,부분(미승인),31,cheese
recipe basic pasta,,부분(미승인),31,pasta
Cream Of Coconut,cream_of_coconut,정확,31,
pint Cherry,,부분(미승인),31,cherry
clove Ginger,,부분(미승인),31,ginger|clove
lemon large,,부분(미승인),31,lemon
chicken pcs,,부분(미승인),31,chicken
Tasty Cheese,tasty_cheese,정확,31,
whole wheat cereal squares,,부분(미승인),31,cereal|wheat
Cinnamon Sugar Butter,,부분(미승인),31,butter|sugar|cinnamon
onion Onion,,부분(미승인),31,onion
PHILADELPHIA Cream,,부분(미승인),31,cream
fennel bulbhalved,,부분(미승인),31,fennel
lamb breast,lamb_breast,정확,30,
pretzel rods,pretzel_rod,정확(수),30,
Chinese sesame oil,,부분(미승인),30,sesame|oil
hamburger rolls,,부분(미승인),30,hamburger
very warm milk,,부분(미승인),30,milk
ground suet,,부분(미승인),30,suet
wash,,부분(미승인),30,egg_wash
ground deer,,부분(미승인),30,deer
freshly popped popcorn,,부분(미승인),30,popcorn
sherry flavoring,,부분(미승인),30,flavoring
turkey breast slices,,부분(미승인),30,turkey
curd creamed cottage cheese,,부분(미승인),30,cheese|curd
dark chocolate cake mix,dark_chocolate_cake_mix,정확,30,
shrimp meat,,부분(미승인),30,shrimp|meat
green candied pineapple,,부분(미승인),30,green|pineapple
coconut cookies,,부분(미승인),30,coconut
pressed ham,,부분(미승인),30,ham
frozen string beans,,부분(미승인),30,string
shot vodka,,부분(미승인),30,vodka
cherry soda,,부분(미승인),30,cherry
butt roast,,부분(미승인),30,roast
made,,부분(미승인),30,pillsbury_ready_made_pie_dough|ready_made_pie_crust
Campbell's onion,,부분(미승인),30,onion
instant milk,instant_milk,정확,30,
vanilla cookies,,부분(미승인),30,vanilla
straw,,부분(미승인),30,straw_mushroom
pork liver,pork_liver,정확,30,
spicy chili beans,,부분(미승인),30,chili
curly pasta,,부분(미승인),30,pasta
unsweetened grape juice,,부분(미승인),30,grape|juice
cactus,,부분(미승인),30,cactus_piece
bottles chili sauce,,부분(미승인),30,chili
lox,lox,정확,30,
mixed lettuce,,부분(미승인),30,lettuce
refrigerator buttermilk,,부분(미승인),30,buttermilk
matzoh meal,,부분(미승인),30,matzoh|meal
Angel food cake,angel_food_cake,정확,30,
rich milk,,부분(미승인),30,milk
containers cream cheese,,부분(미승인),30,cheese|cream
carob,,부분(미승인),30,carob_powder|carob_chip
sweet marjoram,sweet_marjoram,정확,30,
condensed soup,,부분(미승인),30,soup
granular sugar substitute,,부분(미승인),30,sugar
equal,,부분(미승인),30,equal_sugar_substitute
broccoli head,,부분(미승인),30,broccoli
croissant rolls,,부분(미승인),30,croissant
buffalo meat,,부분(미승인),30,buffalo|meat
unsweetened white grape juice,,부분(미승인),30,grape|juice
veal cubes,,부분(미승인),30,veal
garlic chips,,부분(미승인),30,garlic
fresh apple,,부분(미승인),30,apple
vanilla cream,,부분(미승인),30,cream|vanilla
garlic vinegar,,부분(미승인),30,vinegar|garlic
light Karo corn syrup,,부분(미승인),30,syrup|corn
macaroni rings,,부분(미승인),30,macaroni
white rice vinegar,,부분(미승인),30,vinegar|rice
chicken liver,chicken_liver,정확,30,
Clear Jel,clear_jel,정확,30,
cooking barley,,부분(미승인),30,barley
sweet banana peppers,,부분(미승인),30,banana
beef filet,,부분(미승인),30,beef
thin beef,,부분(미승인),30,beef
Great Northern Beans,great_northern_bean,정확(수),30,
rice chex,rice_chex,정확,30,
curly macaroni,,부분(미승인),30,macaroni
veggie burger,veggie_burger,정확,30,
Pimiento,pimiento,정확,30,
additional olive oil,,부분(미승인),30,olive|oil
extra virgin oil,,부분(미승인),30,oil
fresh ravioli,,부분(미승인),30,ravioli
black shoestring licorice,,부분(미승인),30,licorice
thin linguine,,부분(미승인),30,linguine
Ground allspice,ground_allspice,정확,30,
sour pickle,,부분(미승인),30,pickle
agar flakes,,부분(미승인),30,agar
Mixed Vegetables,mixed_vegetable,정확(수),30,
rice papers,rice_paper,정확(수),30,
apple chips,apple_chip,정확(수),30,
hot bean paste,hot_bean_paste,정확,30,
shortcakes,shortcake,정확(수),30,
shredded white cabbage,,부분(미승인),30,cabbage
kelp powder,kelp_powder,정확,30,
chicken feet,,부분(미승인),30,chicken
Sweet Pickles,sweet_pickle,정확(수),30,
crystal,,부분(미승인),30,coconut_sugar_crystal|sugar_crystal|green_sugar_crystal
stone-ground white cornmeal,,부분(미승인),30,cornmeal
frozen butter,,부분(미승인),30,butter
Lemon Syrup,lemon_syrup,정확,30,
pouches Certo,,부분(미승인),30,certo
framboise liqueur,framboise_liqueur,정확,30,
crystal sugar,,부분(미승인),30,sugar
mint syrup,,부분(미승인),30,mint|syrup
Campbell's Golden Mushroom soup,,부분(미승인),30,soup|mushroom
lamb steaks,lamb_steak,정확(수),30,
Ground Paprika,ground_paprika,정확,30,
live crawfish,,부분(미승인),30,crawfish
Szechuan,,부분(미승인),30,szechuan_sauce|ground_szechuan_peppercorn|szechuan_peppercorn
lemon zest from,,부분(미승인),30,lemon
vanilla ice-cream,,부분(미승인),30,vanilla
Vanilla Icing,vanilla_icing,정확,30,
strawberry sauce,strawberry_sauce,정확,30,
fresh halibut,,부분(미승인),30,halibut
Ready,,부분(미승인),30,ready_to_serve_beef_broth|pillsbury_ready_made_pie_dough|ready_made_pie_crust
ginger marmalade,,부분(미승인),30,marmalade|ginger
clove of Garlic,,부분(미승인),30,garlic|clove
Italian chicken sausage,italian_chicken_sausage,정확,30,
tempura batter,tempura_batter,정확,30,
kaiser,,부분(미승인),30,kaiser_roll
Mortadella,mortadella,정확,30,
SOY SAUCE,soy_sauce,정확,30,
Tbl butter,,부분(미승인),30,butter
taro,,부분(미승인),30,taro_root
lavender buds,lavender_bud,정확(수),30,
Cranberry juice,cranberry_juice,정확,30,
cobs corn,,부분(미승인),30,corn
Stewing Beef,stewing_beef,정확,30,
white mustard seeds,white_mustard_seed,정확(수),30,
red decorating gel,red_decorating_gel,정확,30,
Apple sauce,,부분(미승인),30,apple
glass of white wine,,부분(미승인),30,wine
natural sugar,,부분(미승인),30,sugar
sweet-hot mustard,,부분(미승인),30,mustard
fluid ounces brandy,,부분(미승인),30,brandy
All-Vegetable Shortening,,부분(미승인),30,shortening
lager-style beer,,부분(미승인),30,beer
Soymilk,soymilk,정확,30,
beef sirloin steaks,beef_sirloin_steak,정확(수),30,
Strawberry Puree,strawberry_puree,정확,30,
fluid ounces lemon juice,,부분(미승인),30,juice|lemon
Hollandaise,,부분(미승인),30,hollandaise_sauce_mix|hollandaise_sauce
whole wheat orzo pasta,,부분(미승인),30,pasta|wheat
bittersweet chocolate baking,,부분(미승인),30,chocolate
Horseradish Cream,horseradish_cream,정확,30,
Nam,,부분(미승인),30,nuoc_nam|nam_pla
Fresh salsa,,부분(미승인),30,salsa
sunflower sprouts,sunflower_sprout,정확(수),30,
Chinese wheat noodles,chinese_wheat_noodle,정확(수),30,
unflavoured gelatin,,부분(미승인),30,gelatin
kashmiri chili powder,kashmiri_chili_powder,정확,30,
quick-cooking rice,,부분(미승인),30,rice
sharp white cheddar cheese,sharp_white_cheddar_cheese,정확,30,
beef stock powder,beef_stock_powder,정확,30,
capsicum,capsicum,정확,30,
Grands,,부분(미승인),30,pillsbury_grands_refrigerated_buttermilk_biscuit
oriental sesame oil,oriental_sesame_oil,정확,30,
kamut,,부분(미승인),30,kamut_flour
walla walla onion,walla_walla_onion,정확,30,
cannelloni tubes,cannelloni_tube,정확(수),30,
coconut sugar crystals,coconut_sugar_crystal,정확(수),30,
rome apples,rome_apple,정확(수),30,
long red chile,,부분(미승인),30,chile
red currant jelly,red_currant_jelly,정확,30,
dry basil,dry_basil,정확,30,
texas pete,texas_pete,정확,30,
cooking cream,,부분(미승인),30,cream
crusty country bread,,부분(미승인),30,bread
mashed cooked butternut squash,,부분(미승인),30,squash
world style pasta sauce,,부분(미승인),30,pasta
fresh red Thai chile,,부분(미승인),30,chile
sweet vidalia onion,,부분(미승인),30,onion
stalks thyme,,부분(미승인),30,thyme
packaged coleslaw,,부분(미승인),30,coleslaw
maitake mushrooms,maitake_mushroom,정확(수),30,
ROASTED,,부분(미승인),30,roasted_cashew|honey_roasted_peanut|roasted_pistachio
